SectorGroup,Sector,SectorANZSIC,FuelGroup,Fuel,TechnologyGroup,Technology,EndUseGroup,EndUse,Transport,EnergyValue (Terajoules - TJ),PeriodEndDate
Industrial,Printing,C16,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,NULL,31/12/2024
Industrial,Printing,C16,Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,NULL,31/12/2024
Industrial,Printing,C16,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,NULL,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Renewables,Geothermal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,3622.124817,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Renewables,Wood,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,4883.858766,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,59.259288,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"High Temperature Heat (>300 C), Process Requirements",Non-Transport,534.946423,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,1497.534448,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,105.94443,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,0.263824,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Electricity,Electricity,Electronics and Lights,Air Compressors,Electronics and Lighting,Compressed Air,Non-Transport,8.54841,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,1.577182,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Electricity,Electricity,Electronics and Lights,Fan Systems,Electronics and Lighting,Fans,Non-Transport,28.315061,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,5.476996,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Electricity,Electricity,Electronics and Lights,Refiners,Electronics and Lighting,Refiners,Non-Transport,285.740278,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,83.894035,31/12/2024
Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,104.545218,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,13.307785,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,1.622618,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,233.272733,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,70.043943,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,7.883922,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,49.905099,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,104.264037,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,38.505994,31/12/2024
Industrial,"Textile, Leather, Clothing and Footwear Manufacturing",C13,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,234.058373,31/12/2024
Industrial,Wood Product Manufacturing,C14,Renewables,Geothermal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,515.549759,31/12/2024
Industrial,Wood Product Manufacturing,C14,Renewables,Wood,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,13448.86343,31/12/2024
Industrial,Wood Product Manufacturing,C14,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,70.985817,31/12/2024
Industrial,Wood Product Manufacturing,C14,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,162.581921,31/12/2024
Industrial,Wood Product Manufacturing,C14,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,81.764501,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Air Compressors,Electronics and Lighting,Compressed Air,Non-Transport,151.838343,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,10.211858,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Fan Systems,Electronics and Lighting,Fans,Non-Transport,1346.884806,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,160.706988,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Refiners,Electronics and Lighting,Refiners,Non-Transport,300.013418,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"High Temperature Heat (>300 C), Process Requirements",Non-Transport,2.969126,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,13.807929,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Heating),Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,3.314444,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,901.258049,31/12/2024
Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,254.201246,31/12/2024
Residential,Residential,Z001,Renewables,Geothermal,Heat/Cooling Devices,Direct Heat,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,209,31/12/2024
Residential,Residential,Z001,Renewables,Solar,NULL,NULL,NULL,NULL,Non-Transport,364,31/12/2024
Residential,Residential,Z001,Renewables,Wood,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,5897.185418,31/12/2024
Residential,Residential,Z001,Renewables,Wood,Heat/Cooling Devices,"Burner, with Wetback",Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,1544.713577,31/12/2024
Residential,Residential,Z001,Fossil Fuels,Coal,Heat/Cooling Devices,"Coal Heaters, Residential Only  ",Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,154.294959,31/12/2024
Residential,Residential,Z001,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Recreational Marine)  ,Mobile Motive Power,"Motive Power, Mobile",Non-Transport,2600.45844,31/12/2024
Residential,Residential,Z001,Fossil Fuels,LPG,Heat/Cooling Devices,"Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)  ",Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,43.662988,31/12/2024
Residential,Residential,Z001,Fossil Fuels,LPG,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,1261.379706,31/12/2024
Residential,Residential,Z001,Fossil Fuels,LPG,Heat/Cooling Devices,Gas Water Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,2598.740448,31/12/2024
Residential,Residential,Z001,Fossil Fuels,Natural Gas,Heat/Cooling Devices,"Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)  ",Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,278.93122,31/12/2024
Residential,Residential,Z001,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,4035.910563,31/12/2024
Residential,Residential,Z001,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Gas Water Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,2961.243447,31/12/2024
Residential,Residential,Z001,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Recreational Marine)  ,Mobile Motive Power,"Motive Power, Mobile",Non-Transport,14370.34061,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Electronics and Lights,IT and Entertainment,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,4879.444035,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,"Misc, Residential Only (Battery chargers, Pools, Pumps)  ",Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,5454.121154,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Electronics and Lights,Fluorescent,Electronics and Lighting,Lighting,Non-Transport,358.927815,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Electronics and Lights,Incandescent/Halogen,Electronics and Lighting,Lighting,Non-Transport,2069.605158,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Electronics and Lights,LED,Electronics and Lighting,Lighting,Non-Transport,338.726948,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,"Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)  ",Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,4700.89931,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,Dishwashers,Heating/Cooling,"Low Temperature Heat (< 100 C), Dishwashers",Non-Transport,739.571881,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,Clothes Dryer,Heating/Cooling,"Low Temperature Heat (<100 C), Clothes Drying",Non-Transport,365.971246,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,Clothes Washers,Heating/Cooling,"Low Temperature Heat (<100 C), Clothes Washing",Non-Transport,694.289507,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Heating),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,4671.165808,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,5553.670382,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,13456.80363,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,5948.965726,31/12/2024
Residential,Residential,Z001,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Cooling),Heating/Cooling,Space Cooling,Non-Transport,1197.109079,31/12/2024
Transport,Air Transport,Z002,Fossil Fuels,Av. Fuel/Kero,Plane,Turbine Engine,Mobile Motive Power,"Motive Power, Mobile",Air Transport,13269.90059,31/12/2024
Transport,Rail Transport,Z002,Fossil Fuels,Diesel,Passenger Rail,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Rail,117.8105362,31/12/2024
Transport,Rail Transport,Z002,Electricity,Electricity,Passenger Rail,Electric Motor,Mobile Motive Power,"Motive Power, Mobile",Rail,201.4990779,31/12/2024
Transport,Rail Transport,Z002,Fossil Fuels,Diesel,Freight Rail,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Rail,1352.755767,31/12/2024
Transport,Rail Transport,Z002,Electricity,Electricity,Freight Rail,Electric Motor,Mobile Motive Power,"Motive Power, Mobile",Rail,11.1015612,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,LPG,Bus,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,8.555338571,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Diesel,Light Truck,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,6043.367278,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Light Truck,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,44.04014433,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Diesel,Medium Truck,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,12594.57235,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Diesel,Heavy Truck,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,34462.04264,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Diesel,Bus,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,3672.199952,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Bus,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,4.798200855,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Bus,Battery Electric Vehicle,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,47.78543319,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Light Truck,Battery Electric Vehicle,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,1.280944257,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Medium Truck,Battery Electric Vehicle,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,3.075878561,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Heavy Truck,Battery Electric Vehicle,Mobile Motive Power,"Motive Power, Mobile",Heavy Vehicles,1.914285958,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,LPG,Light Passenger Vehicle,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,87.66922334,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,LPG,Light Commercial Vehicle,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,47.37376657,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Diesel,Light Passenger Vehicle,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,11336.72029,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Light Passenger Vehicle,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,71129.96598,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Light Passenger Vehicle,Conventional Hybrid Vehicle,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,6369.741391,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Light Passenger Vehicle,Plug-In Hybrid Vehicle,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,257.3055319,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Light Passenger Vehicle,Plug-In Hybrid Vehicle,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,76.67397403,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Light Passenger Vehicle,Battery Electric Vehicle,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,364.8955182,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Diesel,Light Commercial Vehicle,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,33935.45297,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Light Commercial Vehicle,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,4930.085697,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Light Commercial Vehicle,Conventional Hybrid Vehicle,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,0,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Light Commercial Vehicle,Plug-In Hybrid Vehicle,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,0,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Light Commercial Vehicle,Plug-In Hybrid Vehicle,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,0,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Light Commercial Vehicle,Battery Electric Vehicle,Mobile Motive Power,"Motive Power, Mobile",Light Vehicles,491.8031835,31/12/2024
Transport,Road Transport,Z002,Fossil Fuels,Petrol,Motorcycle,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Other,584.874068,31/12/2024
Transport,Road Transport,Z002,Electricity,Electricity,Motorcycle,Battery Electric Vehicle,Mobile Motive Power,"Motive Power, Mobile",Other,0.6115277,31/12/2024
Transport,Sea Transport,Z002,Fossil Fuels,Fuel Oil,Ship,Internal Combustion Engine,Mobile Motive Power,"Motive Power, Mobile",Sea Transport,764.0161467,31/12/2024
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,3062.579091,31/12/2023
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,605.264322,31/12/2023
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Electronics and Lights,Irrigation,Electronics and Lighting,Irrigation,Non-Transport,1581.259547,31/12/2023
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,52.653563,31/12/2023
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,1203.358883,31/12/2023
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,1118.893131,31/12/2023
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,1200.067941,31/12/2023
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,1366.256365,31/12/2023
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Sea Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,1710.688471,31/12/2023
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Sea Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,100.530097,31/12/2023
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,6.552901,31/12/2023
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,19.653501,31/12/2023
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,131.011203,31/12/2023
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,6.552901,31/12/2023
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,1566.575813,31/12/2023
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Diesel,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,180.795351,31/12/2023
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,0.6866,31/12/2023
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,23.239669,31/12/2023
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Petrol,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,4.035748,31/12/2023
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,4.479521,31/12/2023
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,38.932308,31/12/2023
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,202.336977,31/12/2023
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,1612.409125,31/12/2023
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,271.23859,31/12/2023
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,996.039303,31/12/2023
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,14.905463,31/12/2023
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,14.195677,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Diesel,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"High Temperature Heat (>300 C), Process Requirements",Non-Transport,249.08852,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Diesel,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,249.105538,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,7179.607193,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Diesel,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,200.923032,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,LPG,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,117.630793,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,1446.204196,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Petrol,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,10.714546,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,375.4278,31/12/2023
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,218.34008,31/12/2023
